idx,seq,name,uscc,origin,vintage,label,borderline
295,10342,海南陆源石油化工有限公司,91460000MA5U1EAE5J,本地(省级),MA5,,
296,10352,海南鲁一顺科技有限公司三亚分公司,91460000MAE4H5U2X8,本地(省级),MAE,,
297,10460,海南麟阁骠姚创业合伙企业（有限合伙）,91460000MABNX6LAXQ,本地(省级),MA其他,,
298,10464,海南霖铅生物科技开发有限公司,91460000MADC4J0Q8C,本地(省级),MAD,,
299,10510,海南联汇辉冠科技有限公司,91460200MA5RH6RH0J,本地(三亚),MA5,,
300,10524,海南立帆科技有限公司,91460000MAC6FXTT81,本地(省级),MAC,,
301,10548,海南醴辰瓷业有限公司,91460000MADDT2P131,本地(省级),MAD,,
302,10580,海南乐唐盛轩实业有限公司,91460000MABU4AQT61,本地(省级),MA其他,,
303,10619,海南榔兆沣农业有限公司,91460000MAEXX7HK3C,本地(省级),MAE,SEED,
304,10703,海南坤安储能科技有限公司,91460000MAEPN3FP95,本地(省级),MAE,SUPPORT,
305,10728,海南壳木软件有限责任公司,91460000MA5TTC8E94,本地(省级),MA5,SUPPORT,
306,10742,海南科天康格科技有限公司,91460200MA5RH8AM9U,本地(三亚),MA5,,
307,10777,海南康植肽生物科技有限公司,91460100MAA94JMU2Y,省内迁入/外设,MAA,,
308,10853,海南峻睿黄金科技有限公司,91460000MAE5KG4563,本地(省级),MAE,,
309,10860,海南钧诺网络科技有限公司,91460000MA5TL5L63C,本地(省级),MA5,,
310,10877,海南君朗网络科技有限公司,91460000MACCUHGP6L,本地(省级),MAC,,
311,10889,海南卷积科技有限公司,91460000MA5TULUQ7M,本地(省级),MA5,SUPPORT,
312,10911,海南聚全安装工程有限公司,91460000MADY11GE63,本地(省级),MAD,,
313,10915,海南聚汇房房产营销策划有限公司,91469001MA5TLLALXW,省内迁入/外设,MA5,,
314,10921,海南聚电科技有限公司,91460000MA5TKRQQ3E,本地(省级),MA5,,
315,10938,海南巨大的数据技术有限公司,91460000MAE5CRXR7K,本地(省级),MAE,SUPPORT,
316,10978,海南九海农业开发有限公司,91460000MACHJCEL1R,本地(省级),MAC,SEED,
317,10992,海南静月繁花科技有限公司,91460108MAA9A2F92Q,省内迁入/外设,MAA,,
318,10993,海南静贤科技有限公司,91460106MAA9A7M58G,省内迁入/外设,MAA,,
319,11076,海南精正至善科技有限公司,91460107MACLLAEX9Y,省内迁入/外设,MAC,,
320,11223,海南金奇鹏康科技有限公司,91460000MAD6H7QM3P,本地(省级),MAD,,
321,11231,海南金驴子实业有限公司,91460000MA5TNY668G,本地(省级),MA5,,
322,11318,海南江晨农业开发有限公司,91460108MAD4XCDQ2X,省内迁入/外设,MAD,SEED,
323,11368,海南嘉懿鑫阳生物科技有限责任公司,91460000MA5U015LX1,本地(省级),MA5,,
324,11414,海南佳郡科技有限公司,91469027MACL22WH70,省内迁入/外设,MAC,,
325,11453,海南极视星光科技有限公司,91460000MAE57PA82H,本地(省级),MAE,,
326,11668,海南华服科技有限公司,91460000MA5TQ2QJ0F,本地(省级),MA5,,
327,11675,海南华盛智能科技有限公司,91460000MA5TXT6J5W,本地(省级),MA5,,
328,11781,海南红远信息科技有限公司,91460000MACC88CA33,本地(省级),MAC,,
329,11790,海南红芯椰子研究开发有限公司,91460106MA5THUX747,省内迁入/外设,MA5,SEED,
330,11820,海南洪靖科技有限公司,91220107MA17HF8779,省外迁入/外设,MA其他,,
331,11906,海南衡安科技有限公司,91460105MAA9A4RR12,省内迁入/外设,MAA,,
332,11979,海南禾启春杏科技有限公司,91460106MAA9G9KW4D,省内迁入/外设,MAA,,
333,12013,海南合源联拓科技有限公司,91460106MACELQ5X93,省内迁入/外设,MAC,,
334,12032,海南皓伟电气科技有限公司,91460000MAEDJL8A8Y,本地(省级),MAE,,
335,12193,海南海新宝智能科技有限公司,91460000MA5TTB8U74,本地(省级),MA5,,
336,12200,海南海忒龙石油化工有限公司,91460000MA5U03ET8P,本地(省级),MA5,,
337,12347,海南广安大药堂连锁经营有限公司三亚崖城南山花园分店,914602003945602534,本地(三亚),旧版(2015前),,
338,12368,海南共价键科技有限公司,91460000MAEAWM0B69,本地(省级),MAE,,
339,12375,海南工科智砼工程科技有限公司,91460000MACUHJ334G,本地(省级),MAC,,
340,12456,海南富安居商务有限公司,91460000MA5TQDJB0M,本地(省级),MA5,,
341,12474,海南福垚信息科技有限公司,91110108MA7C93DJ6Y,省外迁入/外设,MA7,,
342,12483,海南福农高科有限公司,91460000MACFGKM637,本地(省级),MAC,SEED,
343,12513,海南风之子科技有限公司,91410307MA45KTJE2R,省外迁入/外设,MA其他,,
344,12627,海南发梓侨科技有限公司,91460000MAD7MT9K7P,本地(省级),MAD,,
345,12682,海南东乐科技有限公司,91460000MACJ18LR8Q,本地(省级),MAC,,
346,12795,海南道乐能源有限公司,91460000MA5U1AW0XP,本地(省级),MA5,,
347,12823,海南大牛实业有限公司,91460100MA5RCXNM26,省内迁入/外设,MA5,,
348,12832,海南大道至简畜牧业有限公司,91460000MACA2CQN53,本地(省级),MAC,SEED,
349,12856,海南慈宁健康管理有限公司,91460000MA5TR1WC4W,本地(省级),MA5,,
350,12950,海南诚志信达工程勘察设计有限公司,91460000MACFXLLN1P,本地(省级),MAC,,
351,12998,海南盛世玖安安全科技有限公司,91469027MA5TKMEY95,省内迁入/外设,MA5,,
352,13041,海南晟佑网络科技有限公司,91460000MAEWF3AR68,本地(省级),MAE,,
353,13124,海南宸恒生物科技有限公司,91460204MACR2U217X,本地(三亚),MAC,,
354,13133,海南潮生生物技术有限公司,91460000MAECL8R79M,本地(省级),MAE,,
355,13140,海南超远科技有限公司,91460000MADAJ0249B,本地(省级),MAD,,
356,13146,海南超级视线信息技术中心（有限合伙）,91469005MA5TW4UT6G,省内迁入/外设,MA5,,
357,13232,海南柏晟电力科技有限公司,91220200MA17DGP25B,省外迁入/外设,MA其他,,
358,13261,海南博思纵横科技有限公司,91460000MAC42UC87K,本地(省级),MAC,,
359,13315,海南槟气实业有限公司振兴路分公司,91460000MAE4RJQW2A,本地(省级),MAE,,
360,13498,海南安邦龙耀科技管理有限公司,91460000MAC58DE528,本地(省级),MAC,,
361,13502,海南艾锐奥科技有限公司,91460000MA5TK5N87E,本地(省级),MA5,,
362,13509,海南艾格睿科技有限公司,91460000MAEK0BNFXP,本地(省级),MAE,,
363,13523,海南爱米科技有限公司,91460000MADMNMF01B,本地(省级),MAD,,
364,13543,海南阿木尔汗科技有限公司,91460000MABQJA9B9A,本地(省级),MA其他,,
365,13559,海葵网络科技（海南）有限公司,91460000MA5U2WQ82F,本地(省级),MA5,,
366,13566,海口贝胜实业有限公司三亚分公司,91460200MA5RCALJ2K,本地(三亚),MA5,,
367,13570,海津新能源（海南）有限公司,91460000MA5TW1KL9Q,本地(省级),MA5,SUPPORT,
368,13577,海岛信通（三亚）智能科技有限公司,91460108MADQY3N63U,省内迁入/外设,MAD,,
369,13583,海辰新能源（海南）有限公司,91460000MAA8YA3X4Q,本地(省级),MAA,SUPPORT,
370,13584,海晨康养（海南）有限公司,91630000MA75965U7J,省外迁入/外设,MA7,,
371,13623,国电投（三亚）综合智慧能源有限公司,91469006MA5TR5BL5T,省内迁入/外设,MA5,SUPPORT,
372,13643,广西田阳闽东建农农资有限公司三亚分公司,91460200MA5T6A4LXJ,本地(三亚),MA5,SEED,Y
373,13656,光风（海南）能源有限责任公司,91460000MA5U08Y016,本地(省级),MA5,,
374,13772,鼎新弘毅（海南）国际能源有限公司,91460000MA5TY5XCXK,本地(省级),MA5,,
375,13773,鼎泰达（海南）石油物资有限公司,91460106MA5U2MTGX0,省内迁入/外设,MA5,,
376,13798,道口融汇（海南）科技有限公司,91460000MA5U2BTK2B,本地(省级),MA5,,
377,13811,大唐三亚新能源有限公司,91460108MA5U0RCQ6U,省内迁入/外设,MA5,SUPPORT,
378,13818,大隆科技（三亚）有限公司,91460000MA5TRN133Y,本地(省级),MA5,,
379,13839,创想设计（三亚）设计有限公司,91460000MA5T82AW74,本地(省级),MA5,,
380,13853,赤道电影（海南）有限公司,91460000MA5TAG6C7H,本地(省级),MA5,,
381,13854,齿创（海南）医疗科技有限公司,91460000MAEM70Q30Q,本地(省级),MAE,SUPPORT,
382,13865,盛洋世纪（海南）科技有限公司,91460000MACAF0MG0A,本地(省级),MAC,,
383,13975,暴雪网络科技发展（海南）有限公司,91460000MA5TKK0E07,本地(省级),MA5,,
384,14010,八亿科技有限公司,91460000MA5TJRJ00J,本地(省级),MA5,,
385,14121,国爱链商（海南）商业发展有限公司,91460000MAK49A0N12,本地(省级),MAK,,
386,14176,海南静溟科技有限公司,91460000MAK1F5K232,本地(省级),MAK,,
387,14224,海南凯富博科科技有限公司,91460000MAK32JEU3X,本地(省级),MAK,,
388,14233,碳桢科技（海南）有限公司,91460000MAK1LP8D4T,本地(省级),MAK,,
389,14278,兴郧科技（三亚）有限公司,91460000MAK2LYTM7P,本地(省级),MAK,,
390,14295,三亚华宸方泽科技有限公司,91460000MAK3B1XQ1L,本地(省级),MAK,,
391,14393,海南亿路通达科技有限公司,91460000MAK2N1U63F,本地(省级),MAK,,
392,14458,海南亿翔建材有限公司,91460000MADDTMKK10,本地(省级),MAD,,
393,14525,海南轻绿科技有限公司,91460000MAK4NY8T3Y,本地(省级),MAK,,
394,14662,海南纳塔生物有限公司,91460000MAD7F11WXL,本地(省级),MAD,,
395,14720,海南悦圆愈健数字技术有限公司,91460000MACA156L7N,本地(省级),MAC,,
396,14781,三亚市弘屹科技有限公司,91460000MAK6EBGA9C,本地(省级),MAK,,
397,14861,三亚市崖州区建衍鑫药房有限公司,91460000MAK620DE7W,本地(省级),MAK,,
398,14896,海南省可信农品大数据有限公司,91460000MAK5AFWP1G,本地(省级),MAK,SEED,
399,14924,海南融坤实业有限公司,91460000MA5TWB4J8N,本地(省级),MA5,,
400,14998,三亚崖州凌朱伟科技有限公司,91460000MAK7QX8N0H,本地(省级),MAK,,
