idx,seq,name,uscc,track,origin,vintage,label
252,12375,海南工科智砼工程科技有限公司,91460000MACUHJ334G,泛科技无行业信号,本地(省级),MAC,OK
253,12425,海南感知智能信息技术中心（有限合伙）,91469002MA5TXJ4T7J,待判定,省内迁入/外设,MA5,MISS_BORDERLINE
254,12496,海南福港宇能电力科技有限公司,91460000MAE991G71A,泛科技无行业信号,本地(省级),MAE,OK
255,12512,海南凤德荣洲科技有限公司,91610800MA7096347K,泛科技无行业信号,省外迁入/外设,MA7,OK
256,12519,海南风土实业有限公司,91460000MAD9RB1P76,待判定,本地(省级),MAD,OK
257,12523,海南锋测生物科技有限公司,91110108MA01K1MU5R,泛科技无行业信号,省外迁入/外设,MA其他,OK
258,12540,海南峰达实业有限公司,91460107MACJC61G5B,待判定,省内迁入/外设,MAC,OK
259,12576,海南费舍尔生物科技中心（有限合伙）,91460000MABTQN032K,待判定,本地(省级),MA其他,OK
260,12643,海南多乐营销有限公司,91460000MABW46TM96,待判定,本地(省级),MA其他,OK
261,12673,海南东享制造有限公司,91460000MAA96DF66R,待判定,本地(省级),MAA,OK
262,12745,海南灯创联盟科技工程有限公司,91460200069656972P,待判定,本地(三亚),旧版(2015前),OK
263,12776,海南德丰银腾网络竞技有限公司,91460200MA5RH9BH7E,待判定,本地(三亚),MA5,OK
264,12780,海南得一医疗健康科技有限公司,91460000MAEFRP5N1M,泛科技无行业信号,本地(省级),MAE,MISS_BORDERLINE
265,12834,海南大班策划与设计顾问有限公司,91460000620026201Q,待判定,本地(省级),旧版(2015前),OK
266,13001,海南盛世汇联知识产权运营管理有限公司,91460000MAE46Y6XXC,待判定,本地(省级),MAE,OK
267,13093,海南辰烨设备租赁有限公司,91460000MAERC6G357,待判定,本地(省级),MAE,OK
268,13167,海南长风电力工程有限公司,91460108MAA9A05507,待判定,省内迁入/外设,MAA,OK
269,13318,海南槟气实业有限公司三亚分公司,91460000MAE0LNM507,待判定,本地(省级),MAE,OK
270,13319,海南槟气实业有限公司奋斗者路分公司,91460000MAE409RF59,待判定,本地(省级),MAE,OK
271,13321,海南槟气实业有限公司创意路分公司,91460000MAE4DRLE9G,待判定,本地(省级),MAE,OK
272,13348,海南贝臻生物科技有限公司,91460000MAEQPD69X4,泛科技无行业信号,本地(省级),MAE,OK
273,13378,海南宝庆丰实业有限公司,91460200MA5RGG6J5P,待判定,本地(三亚),MA5,OK
274,13408,海南百川亿诚科技有限公司,91230203MA1CLTW07N,泛科技无行业信号,省外迁入/外设,MA其他,OK
275,13545,海南阿卡林科技发展有限公司,91510100MA6AFJR10M,待判定,省外迁入/外设,MA其他,OK
276,13558,海坤达（海南）电力科技有限公司,91460000MAD2CJG28L,泛科技无行业信号,本地(省级),MAD,OK
277,13670,庚申（海南）石油科技有限公司,91469002MA5TYP1K63,泛科技无行业信号,省内迁入/外设,MA5,OK
278,13839,创想设计（三亚）设计有限公司,91460000MA5T82AW74,待判定,本地(省级),MA5,OK
279,13852,赤道网络科技（海南）有限公司,91460000MA5TAU6C5T,待判定,本地(省级),MA5,OK
280,13911,长风运载（三亚）科技有限公司,91460000MADXY9YT4G,泛科技无行业信号,本地(省级),MAD,MISS_BORDERLINE
281,13928,柏翼（三亚）科技有限公司,91460000MAK0KFTU38,泛科技无行业信号,本地(省级),MAK,OK
282,13942,碧清园科技（海南）有限公司,91460000MAG0QYM787,待判定,本地(省级),MAG,OK
283,13961,北京中名国成会计师事务所（特殊普通合伙）三亚分所,91460000MAEEF8FC2T,待判定,本地(省级),MAE,OK
284,14066,中物合（海南）锁业有限公司,91460000MAK1Q9G45U,待判定,本地(省级),MAK,OK
285,14089,驭见未来（海南）科技有限公司,91460000MAK2GKBA9Y,泛科技无行业信号,本地(省级),MAK,OK
286,14157,海南华欣智演科技有限公司,91460000MAK41QT407,泛科技无行业信号,本地(省级),MAK,OK
287,14224,海南凯富博科科技有限公司,91460000MAK32JEU3X,泛科技无行业信号,本地(省级),MAK,OK
288,14229,三亚市饶北生物科技有限公司,91460000MAK3UXYG7T,泛科技无行业信号,本地(省级),MAK,OK
289,14325,睿享致盛（三亚）科技有限公司,91460000MAK2KHQQ90,泛科技无行业信号,本地(省级),MAK,OK
290,14476,海南禾立建机械设备有限公司,91460000MA5TWBHM5A,待判定,本地(省级),MA5,OK
291,14532,三亚玮家建材销售有限公司,91460000MAK342D06H,待判定,本地(省级),MAK,OK
292,14579,文舒家居设计（海南）有限公司,91460000MAK47Y2W2P,待判定,本地(省级),MAK,OK
293,14589,海南小鲸逐浪智能科技有限公司,91460000MAK3B3GF9Q,泛科技无行业信号,本地(省级),MAK,MISS_BORDERLINE
294,14612,智禾芯创（海南）合伙企业（有限合伙）,91460000MAK4RYA943,待判定,本地(省级),MAK,OK
295,14785,泰和祥（海南）科技有限公司,91460000MAK4GB5U11,泛科技无行业信号,本地(省级),MAK,OK
296,14824,海南圣世达拍卖有限公司,91460000MAK5NC9895,待判定,本地(省级),MAK,OK
297,14875,海南强盛智行汽车科技有限公司,91460000MAK5EL2K8H,泛科技无行业信号,本地(省级),MAK,OK
298,14916,三亚共生链路数字科技有限公司,91460000MAK4QDJK9P,泛科技无行业信号,本地(省级),MAK,OK
299,14950,帆智（海南）科技有限公司,91460000MAK80BR883,泛科技无行业信号,本地(省级),MAK,OK
300,15018,海南意波量子科技有限公司,91460000MAK7DC5059,泛科技无行业信号,本地(省级),MAK,MISS_STRICT
