seq,name,uscc,pdf_page,tier,track,form,reg_authority,origin,vintage,seed_kw,ocean_kw,support_kw,exclude_kw,holding_kw,anchor_kw,state_kw,risk_flags,score,inst_role
5883,鲲腾科转（海南）股权投资基金合伙企业（有限合伙）,91460000MA5TNXL1XL,131,E 非目标/对照组池,非目标,合伙企业,海南省级登记,本地(省级),MA5,,,,,投资|基金|股权|股权投资,,,合伙企业(常为持股/通道载体); 纯投资/控股载体,-18,基金/投资管理人
5884,鲲腾（海南）股权投资基金管理有限公司,91460200MA5RJ1488E,131,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,投资|基金|股权|股权投资,,,纯投资/控股载体,4,基金/投资管理人
3979,三亚南鹿热带果树研究院有限公司,91460100MA5TMM3P67,89,C 支撑/泛赛道-备选,泛农业经营,独立法人,海口登记,省内迁入/外设,MA5,,,,,,研究院,,,46,科研/孵化载体
4701,三亚厚德康富中医药研究院（普通合伙）,91220701MA170169XK,105,E 非目标/对照组池,非目标,合伙企业,省外登记(220701),省外迁入/外设,MA其他,,,,医药,,研究院,,合伙企业(常为持股/通道载体); 首次登记在省外(迁入或外地主体设点),-6,科研/孵化载体
1327,三亚友谊康诺医学检验实验室有限公司,91460000MABQL4JK0X,30,C 支撑/泛赛道-备选,科技配套,独立法人,海南省级登记,本地(省级),MA其他,,,检验,,,实验室,,,59,科研/孵化载体
1603,三亚崖州湾创新科技国际咨询研究院有限公司,91460200MA5THTCA2T,36,E 非目标/对照组池,非目标,独立法人,三亚市/区登记,本地(三亚),MA5,,,,咨询,,崖州湾|研究院,,,34,科研/孵化载体
1596,三亚崖州湾南海海洋深层水研究院有限公司,91460000MA7H4LH61T,36,A 核心赛道-优先访谈,深海海洋,独立法人,海南省级登记,本地(省级),MA7,,海洋,,,,崖州湾|研究院,,,82,科研/孵化载体
4853,三亚汉烯石墨烯技术研究所有限公司,91460000MA7LPW2A71,108,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA7,,,,,,研究所,,,34,科研/孵化载体
4503,三亚江淮园艺研究所（普通合伙）,91340100737334670K,101,B 核心赛道-需核实,南繁种业,合伙企业,省外登记(340100),省外迁入/外设,旧版(2015前),园艺,,,,,研究所,,合伙企业(常为持股/通道载体); 首次登记在省外(迁入或外地主体设点),44,科研/孵化载体
4893,三亚海上丝路农业研究院有限公司,91460000MA5TDRJ918,109,C 支撑/泛赛道-备选,泛农业经营,独立法人,海南省级登记,本地(省级),MA5,,,,,,研究院,,,52,科研/孵化载体
5113,三亚端木元新产业创新中心（有限合伙）,91460000MAE0MTE6XY,114,D 名称无行业信号,待判定,合伙企业,海南省级登记,本地(省级),MAE,,,,,,,,合伙企业(常为持股/通道载体),-6,科研/孵化载体
4087,三亚芒果同创科技创新中心合伙企业（有限合伙）,91460000MACP7KY512,91,E 非目标/对照组池,泛农业经营,合伙企业,海南省级登记,本地(省级),MAC,,,,,,,,合伙企业(常为持股/通道载体),12,科研/孵化载体
5326,三亚超级感知信息技术中心（有限合伙）,91130702MA0FLNKPXQ,119,D 名称无行业信号,待判定,合伙企业,省外登记(130702),省外迁入/外设,MA其他,,,,,,,,合伙企业(常为持股/通道载体); 首次登记在省外(迁入或外地主体设点),-24,科研/孵化载体
5138,三亚鼎晶医学检验实验室有限公司,91460106MAA93G8C26,115,C 支撑/泛赛道-备选,科技配套,独立法人,海口登记,省内迁入/外设,MAA,,,检验,,,实验室,,,53,科研/孵化载体
956,上海勘测设计研究院有限公司海南分公司,91460000MAC38FPF8H,22,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MAC,,,,,,研究院,,分支机构(非独立法人),12,科研/孵化载体
959,上海德卡实验室系统科技有限公司海南分公司,91469002MACR3EWU7E,22,D 名称无行业信号,待判定,分支机构,海南其他市县登记,省内迁入/外设,MAC,,,,,,实验室,,分支机构(非独立法人),6,科研/孵化载体
958,上海电子工程设计研究院有限公司海南分公司,91460200MA5TT3X41H,22,D 名称无行业信号,待判定,分支机构,三亚市/区登记,本地(三亚),MA5,,,,,,研究院,,分支机构(非独立法人),12,科研/孵化载体
250,中国船舶重工集团公司第七六〇研究所海南分部,91460200MABMN7C404,6,A 核心赛道-优先访谈,深海海洋,独立法人,三亚市/区登记,本地(三亚),MA其他,,船舶,,,,研究所,中国,,90,科研/孵化载体
118,中热科（海南）海洋与农业研究院有限公司,91460100069661050T,3,A 核心赛道-优先访谈,深海海洋,独立法人,海口登记,省内迁入/外设,旧版(2015前),,海洋,,,,研究院,,,76,科研/孵化载体
163,中科开采夫（海南）空天信息研究院有限公司,91460000MA5TDEEB01,4,C 支撑/泛赛道-备选,科技配套,独立法人,海南省级登记,本地(省级),MA5,,,空天,,,研究院,中科,,67,科研/孵化载体
15003,军博（三亚）科技企业孵化器有限公司,91460000MAK7KNKF1J,334,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAK,,,,,,,,,16,科研/孵化载体
6282,合润蚯蚓研究院（海南）有限公司,91460106MA7MH2C55J,140,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MA7,,,,,,研究院,,,28,科研/孵化载体
13812,大唐三亚未来能源研究所有限公司,91460000MA5TKE3Q1H,307,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,研究所,,,34,科研/孵化载体
13649,广东省科学院海南产业技术研究院有限公司,91460000MAA96QMN5Q,304,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAA,,,,,,研究院,,,34,科研/孵化载体
14178,格物致知（三亚）科技创新中心（有限合伙）,91460000MAK34DY93H,316,D 名称无行业信号,待判定,合伙企业,海南省级登记,本地(省级),MAK,,,,,,,,合伙企业(常为持股/通道载体),-6,科研/孵化载体
706,武汉理工大设计研究院有限公司海南分院,91460000MACWT5M69K,16,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAC,,,,,,研究院,,,34,科研/孵化载体
6203,沪试实验室（海南）有限公司,91460107MA5U1K8712,138,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MA5,,,,,,实验室,,,28,科研/孵化载体
6270,河北建筑设计研究院有限责任公司三亚分公司,91460200MA5TWWRT3U,140,E 非目标/对照组池,非目标,分支机构,三亚市/区登记,本地(三亚),MA5,,,,建筑,,研究院,,分支机构(非独立法人),12,科研/孵化载体
6271,河北建筑设计研究院有限责任公司海南分公司,914602003957944731,140,E 非目标/对照组池,非目标,分支机构,三亚市/区登记,本地(三亚),旧版(2015前),,,,建筑,,研究院,,分支机构(非独立法人),12,科研/孵化载体
6269,河北省建筑科学研究院有限公司海南分公司,91469027MAC294G37K,140,E 非目标/对照组池,非目标,分支机构,海南其他市县登记,省内迁入/外设,MAC,,,,建筑,,研究院,,分支机构(非独立法人),6,科研/孵化载体
6312,海之安（三亚）科技企业孵化器有限公司,91460000MABU1QQW87,141,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA其他,,,,,,,,,16,科研/孵化载体
10965,海南九圣禾农业科学研究院有限公司,91110108330348245Y,244,B 核心赛道-需核实,南繁种业,独立法人,省外登记(110108),省外迁入/外设,旧版(2015前),九圣禾,,,,,九圣禾|研究院,,首次登记在省外(迁入或外地主体设点),66,科研/孵化载体
6921,海南云度科技创新中心（有限合伙）,91469031MA5TYRYG9C,154,D 名称无行业信号,待判定,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,合伙企业(常为持股/通道载体),-12,科研/孵化载体
11692,海南互通友聚信息技术中心（有限合伙）,91130702MA093UCBXM,260,D 名称无行业信号,待判定,合伙企业,省外登记(130702),省外迁入/外设,MA其他,,,,,,,,合伙企业(常为持股/通道载体); 首次登记在省外(迁入或外地主体设点),-24,科研/孵化载体
11693,海南互通星联信息技术中心（有限合伙）,91469034MA5TW7XE0J,260,D 名称无行业信号,待判定,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,合伙企业(常为持股/通道载体),-12,科研/孵化载体
11694,海南互通未来信息技术中心（有限合伙）,91469006MA5TW4ACX7,260,D 名称无行业信号,待判定,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,合伙企业(常为持股/通道载体),-12,科研/孵化载体
10857,海南俊码数据研究院有限公司,91460000MABW71Y89J,242,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA其他,,,,,,研究院,,,34,科研/孵化载体
13266,海南博商未来科学研究所（有限合伙）,91469033MAD6791Y3Q,295,D 名称无行业信号,待判定,合伙企业,海南其他市县登记,省内迁入/外设,MAD,,,,,,研究所,,合伙企业(常为持股/通道载体),6,科研/孵化载体
8143,海南卫星海洋应用研究院有限公司,91460000MA5TNAHC1Y,181,A 核心赛道-优先访谈,深海海洋,独立法人,海南省级登记,本地(省级),MA5,,海洋,卫星,,,研究院,,,82,科研/孵化载体
13485,海南安利达生物活菌研究所（个人独资）,91460000MABU739407,300,D 名称无行业信号,待判定,个人独资,海南省级登记,本地(省级),MA其他,,,,,,研究所,,个人独资(常为持股/通道载体),12,科研/孵化载体
12425,海南感知智能信息技术中心（有限合伙）,91469002MA5TXJ4T7J,277,D 名称无行业信号,待判定,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,合伙企业(常为持股/通道载体),-12,科研/孵化载体
8136,海南未来宇航科技研究院有限公司,91460200MA5T7QDQ7J,181,D 名称无行业信号,待判定,独立法人,三亚市/区登记,本地(三亚),MA5,,,,,,研究院,,,34,科研/孵化载体
10208,海南梦卓农业科学技术研究院有限公司,91460000MA5TXEH76C,227,C 支撑/泛赛道-备选,泛农业经营,独立法人,海南省级登记,本地(省级),MA5,,,,,,研究院,,,52,科研/孵化载体
12414,海南港信孵化器有限公司三亚分公司,91460000MAA98FNW66,276,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MAA,,,,,,,,分支机构(非独立法人),-6,科研/孵化载体
8699,海南省众邑新材料研究院有限公司,91460200MA5RCEA24D,194,C 支撑/泛赛道-备选,科技配套,独立法人,三亚市/区登记,本地(三亚),MA5,,,新材料,,,研究院,,,59,科研/孵化载体
11069,海南经济特区敦种作物种子研究院有限公司,91460000MA5TPBBRX0,247,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MA5,种子|物种|作物,,,,,研究院,,,84,科研/孵化载体
10251,海南美好生活信息技术中心（有限合伙）,91130702MA0CYDJU5H,228,D 名称无行业信号,待判定,合伙企业,省外登记(130702),省外迁入/外设,MA其他,,,,,,,,合伙企业(常为持股/通道载体); 首次登记在省外(迁入或外地主体设点),-24,科研/孵化载体
6607,海南致远蓝谷科技孵化器有限公司,91460108MAD4CBNP0Y,147,D 名称无行业信号,待判定,独立法人,海口登记,省内迁入/外设,MAD,,,,,,,,,10,科研/孵化载体
9621,海南认知信息技术中心（有限合伙）,91130702MA0FN78Q9G,214,D 名称无行业信号,待判定,合伙企业,省外登记(130702),省外迁入/外设,MA其他,,,,,,,,合伙企业(常为持股/通道载体); 首次登记在省外(迁入或外地主体设点),-24,科研/孵化载体
13145,海南超级眼信息技术中心（有限合伙）,91469001MA5TXHQP9H,293,D 名称无行业信号,待判定,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,合伙企业(常为持股/通道载体),-12,科研/孵化载体
13146,海南超级视线信息技术中心（有限合伙）,91469005MA5TW4UT6G,293,D 名称无行业信号,待判定,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,合伙企业(常为持股/通道载体),-12,科研/孵化载体
11447,海南集商荟科技孵化器有限公司,91460000MAK2TT0N01,255,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAK,,,,,,,,,16,科研/孵化载体
12409,海南高光时刻信息技术中心（有限合伙）,91469033MA5TW69J62,276,D 名称无行业信号,待判定,合伙企业,海南其他市县登记,省内迁入/外设,MA5,,,,,,,,合伙企业(常为持股/通道载体),-12,科研/孵化载体
7237,海南鹰巢孵化器运营有限公司,91460000MA5TLYC73L,161,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MA5,,,,,,,,,16,科研/孵化载体
6317,海域海岛环境科技研究院（三亚）有限公司,91469034MA5TJWWH6W,141,D 名称无行业信号,待判定,独立法人,海南其他市县登记,省内迁入/外设,MA5,,,,,,研究院,,,28,科研/孵化载体
934,深圳市前海公共安全科学研究院有限公司海南分公司,91460000MAERXUTQ64,21,D 名称无行业信号,待判定,分支机构,海南省级登记,本地(省级),MAE,,,,,,研究院,,分支机构(非独立法人),12,科研/孵化载体
937,深圳市甲骨文智慧实验室建设有限公司海南分公司,91460107MADQY4HD5M,21,D 名称无行业信号,待判定,分支机构,海口登记,省内迁入/外设,MAD,,,,,,实验室,,分支机构(非独立法人),6,科研/孵化载体
14361,玖禾（海南）国际孵化器有限公司,91460000MAK3MTFF34,320,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAK,,,,,,,,,16,科研/孵化载体
5770,绿川鲜食玉米研究院（海南）有限公司,91460000MA5TW5D62F,129,A 核心赛道-优先访谈,南繁种业,独立法人,海南省级登记,本地(省级),MA5,玉米,,,,,研究院,,,84,科研/孵化载体
5545,融湾出海（海南）产业孵化器有限公司,91460000MAE66GFH95,124,D 名称无行业信号,待判定,独立法人,海南省级登记,本地(省级),MAE,,,,,,,,,16,科研/孵化载体
13901,超级聚星（三亚）孵化器合伙企业（有限合伙）,91460000MAEW7R2730,309,D 名称无行业信号,待判定,合伙企业,海南省级登记,本地(省级),MAE,,,,,,,,合伙企业(常为持股/通道载体),-6,科研/孵化载体
5588,青岛智慧蓝色海洋工程研究院有限公司海南分公司,91460000MAE8TDGH4M,125,B 核心赛道-需核实,深海海洋,分支机构,海南省级登记,本地(省级),MAE,,海洋|海洋工程,,,,研究院,,分支机构(非独立法人),60,科研/孵化载体
362,招商局深海装备研究院（三亚）有限公司,91460200MA5TALGU1E,9,A 核心赛道-优先访谈,深海海洋,独立法人,三亚市/区登记,本地(三亚),MA5,,招商局深海|深海,装备,,,招商局深海|深海|招商局|研究院,招商局,,90,科研/孵化载体; 国有资本平台
